entity,code,year,literacy_rate
Afghanistan,AFG,1950,3
Afghanistan,AFG,1979,18
Afghanistan,AFG,2011,31
Afghanistan,AFG,2015,33.75384
Afghanistan,AFG,2021,37
Albania,ALB,1950,72.5
Albania,ALB,2001,99
Albania,ALB,2008,96
Albania,ALB,2011,97
Albania,ALB,2012,97
Albania,ALB,2017,98.81623
Algeria,DZA,1950,17.5
Algeria,DZA,1987,50
Algeria,DZA,2002,70
Algeria,DZA,2006,73
Algeria,DZA,2008,75
American Samoa,ASM,1950,96.5
American Samoa,ASM,1980,97
Andorra,AND,1950,82.5
Angola,AGO,1950,3
Angola,AGO,2001,67
Angola,AGO,2014,66
Angola,AGO,2015,66.23586
Anguilla,AIA,1984,95
Antigua and Barbuda,ATG,1950,82.5
Antigua and Barbuda,ATG,2001,99
Argentina,ARG,1914,64.9
Argentina,ARG,1947,86.4
Argentina,ARG,1950,87.5
Argentina,ARG,1980,94
Argentina,ARG,1991,96
Argentina,ARG,2001,97
Armenia,ARM,1989,99
Armenia,ARM,2001,99
Armenia,ARM,2011,100
Armenia,ARM,2016,100
Armenia,ARM,2017,100
Armenia,ARM,2020,100
Armenia,ARM,2022,99.825
Aruba,ABW,2000,97
Aruba,ABW,2010,97
Australia,AUS,1950,98.5
Austria,AUT,1950,98.5
Azerbaijan,AZE,1999,99
Azerbaijan,AZE,2007,100
Azerbaijan,AZE,2009,100
Azerbaijan,AZE,2010,100
Azerbaijan,AZE,2011,100
Azerbaijan,AZE,2012,100
Azerbaijan,AZE,2013,100
Azerbaijan,AZE,2014,100
Azerbaijan,AZE,2015,100
Azerbaijan,AZE,2016,100
Azerbaijan,AZE,2017,100
Azerbaijan,AZE,2019,100
Azerbaijan,AZE,2023,100
Bahamas,BHS,1950,77.5
Bahrain,BHR,1950,12.5
Bahrain,BHR,1981,70
Bahrain,BHR,1991,84
Bahrain,BHR,2001,87
Bahrain,BHR,2022,98
Bahrain,BHR,2023,98
Bangladesh,BGD,1981,29
Bangladesh,BGD,1991,35
Bangladesh,BGD,2001,47
Bangladesh,BGD,2011,59
Bangladesh,BGD,2012,58
Bangladesh,BGD,2013,61
Bangladesh,BGD,2014,61
Bangladesh,BGD,2015,65
Bangladesh,BGD,2016,73
Bangladesh,BGD,2017,73
Bangladesh,BGD,2018,74
Bangladesh,BGD,2019,75
Bangladesh,BGD,2020,75
Bangladesh,BGD,2021,76
Bangladesh,BGD,2022,79
Barbados,BRB,1950,92.5
Barbados,BRB,1970,99
Belarus,BLR,1989,98
Belarus,BLR,1999,100
Belarus,BLR,2009,100
Belarus,BLR,2019,100
Belgium,BEL,1475,10
Belgium,BEL,1550,17
Belgium,BEL,1650,25
Belgium,BEL,1750,13
Belgium,BEL,1900,80.4
Belgium,BEL,1910,86.6
Belgium,BEL,1920,92.2
Belgium,BEL,1930,94.1
Belgium,BEL,1950,96.5
Belize,BLZ,1950,77.5
Belize,BLZ,1991,70
Belize,BLZ,2015,90.91604
Benin,BEN,1979,16
Benin,BEN,1992,27
Benin,BEN,2002,35
Benin,BEN,2017,38.87121
Benin,BEN,2019,48.99828
Benin,BEN,2021,43.83417
Benin,BEN,2022,51.37877
Bermuda,BMU,1950,96.5
Bhutan,BTN,1950,3
Bhutan,BTN,2005,53
Bhutan,BTN,2012,55
Bhutan,BTN,2017,67
Bolivia,BOL,1950,32.5
Bolivia,BOL,1976,63
Bolivia,BOL,1992,80
Bolivia,BOL,2001,87
Bolivia,BOL,2007,91
Bolivia,BOL,2008,91
Bolivia,BOL,2009,91
Bolivia,BOL,2011,92
Bolivia,BOL,2012,94
Bolivia,BOL,2015,92
Bolivia,BOL,2020,94
Bosnia and Herzegovina,BIH,1991,89
Bosnia and Herzegovina,BIH,2000,97
Bosnia and Herzegovina,BIH,2013,97
Botswana,BWA,1950,22.5
Botswana,BWA,1991,69
Botswana,BWA,2003,81
Brazil,BRA,1900,34.7
Brazil,BRA,1920,35.1
Brazil,BRA,1940,43.9
Brazil,BRA,1950,47.5
Brazil,BRA,1980,75
Brazil,BRA,2000,86
Brazil,BRA,2004,89
